vlog -sv async_fifo.sv fifo_seq_item.sv fifo_agent_pkg.sv fifo_scoreboard.sv
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:28:17 on May 22,2025
# vlog -reportprogress 300 -sv async_fifo.sv fifo_seq_item.sv fifo_agent_pkg.sv fifo_scoreboard.sv 
# -- Compiling module async_fifo
# ** Note: (vlog-2286) fifo_seq_item.sv(1): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package fifo_seq_item_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling package fifo_agent_pkg
# -- Importing package fifo_seq_item_sv_unit
# -- Compiling package fifo_scoreboard_sv_unit
# -- Importing package fifo_seq_item_sv_unit
# 
# Top level modules:
# 	async_fifo
# End time: 22:28:18 on May 22,2025, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
vlog -sv -mfcu async_fifo_if.sv fifo_sequences.sv fifo_env.sv fifo_test.sv fifo_tb_top.sv
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:28:19 on May 22,2025
# vlog -reportprogress 300 -sv -mfcu async_fifo_if.sv fifo_sequences.sv fifo_env.sv fifo_test.sv fifo_tb_top.sv 
# -- Compiling interface async_fifo_if
# ** Note: (vlog-2286) fifo_sequences.sv(1): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# ** Warning: fifo_sequences.sv(2): (vlog-13233) Design unit "async_fifo_if_sv_unit" already exists and will be overwritten. Overwriting SystemVerilog $unit with different source files.
# -- Compiling package async_fifo_if_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_seq_item_sv_unit
# -- Importing package fifo_agent_pkg
# -- Importing package fifo_scoreboard_sv_unit
# -- Compiling module fifo_tb_top
# 
# Top level modules:
# 	fifo_tb_top
# End time: 22:28:20 on May 22,2025, Elapsed time: 0:00:01
# Errors: 0, Warnings: 1
vsim -voptargs=+acc -L mtiUvm work.fifo_tb_top +UVM_TESTNAME=fifo_test -sv_seed  random -do "run -all"
# vsim -voptargs="+acc" -L mtiUvm work.fifo_tb_top "+UVM_TESTNAME=fifo_test" -sv_seed random -do "run -all" 
# Start time: 22:28:27 on May 22,2025
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading mtiUvm.uvm_pkg(fast)
# Loading work.fifo_seq_item_sv_unit(fast)
# Loading work.fifo_scoreboard_sv_unit(fast)
# Loading work.async_fifo_if(fast)
# Loading work.fifo_agent_pkg(fast)
# Loading work.async_fifo_if_sv_unit(fast)
# Loading mtiUvm.questa_uvm_pkg(fast)
# Loading work.fifo_tb_top(fast)
# Loading work.async_fifo_if(fast__2)
# Loading work.async_fifo(fast)
# Loading /pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/linux_x86_64/uvm_dpi.so
# Sv_Seed = 2608898808
# run -all
# ----------------------------------------------------------------
# UVM-1.1d
# (C) 2007-2013 Mentor Graphics Corporation
# (C) 2007-2013 Cadence Design Systems, Inc.
# (C) 2006-2013 Synopsys, Inc.
# (C) 2011-2013 Cypress Semiconductor Corp.
# ----------------------------------------------------------------
# 
#   ***********       IMPORTANT RELEASE NOTES         ************
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_NO_DEPRECATED undefined.
#   See http://www.eda.org/svdb/view.php?id=3313 for more details.
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_OBJECT_MUST_HAVE_CONSTRUCTOR undefined.
#   See http://www.eda.org/svdb/view.php?id=3770 for more details.
# 
#       (Specify +UVM_NO_RELNOTES to turn off this notice)
# 
# UVM_INFO verilog_src/questa_uvm_pkg-1.2/src/questa_uvm_pkg.sv(277) @ 0: reporter [Questa UVM] QUESTA_UVM-1.2.3
# UVM_INFO verilog_src/questa_uvm_pkg-1.2/src/questa_uvm_pkg.sv(278) @ 0: reporter [Questa UVM]  questa_uvm::init(+struct)
# UVM_INFO @ 0: reporter [RNTST] Running test fifo_test...
# UVM_ERROR fifo_scoreboard.sv(57) @ 2066: uvm_test_top.env.sb [fifo_scoreboard] Mismatch: expected 0xa131caed got 0x0
# UVM_INFO fifo_scoreboard.sv(62) @ 2074: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xabccbb59
# UVM_INFO fifo_scoreboard.sv(62) @ 2082: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xabccbb59
# UVM_INFO fifo_scoreboard.sv(62) @ 2090: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x539cf615
# UVM_INFO fifo_scoreboard.sv(62) @ 2098: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x539cf615
# UVM_INFO fifo_scoreboard.sv(62) @ 2106: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xe98a5c86
# UVM_INFO fifo_scoreboard.sv(62) @ 2114: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xe98a5c86
# UVM_INFO fifo_scoreboard.sv(62) @ 2122: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xbe4e7b25
# UVM_INFO fifo_scoreboard.sv(62) @ 2130: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xbe4e7b25
# UVM_INFO fifo_scoreboard.sv(62) @ 2138: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xcd8991eb
# UVM_INFO fifo_scoreboard.sv(62) @ 2146: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xcd8991eb
# UVM_INFO fifo_scoreboard.sv(62) @ 2154: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x3f996cca
# UVM_INFO fifo_scoreboard.sv(62) @ 2162: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x3f996cca
# UVM_INFO fifo_scoreboard.sv(62) @ 2170: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xfe43f9ed
# UVM_INFO fifo_scoreboard.sv(62) @ 2178: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xfe43f9ed
# UVM_INFO fifo_scoreboard.sv(62) @ 2186: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x73932778
# UVM_INFO fifo_scoreboard.sv(62) @ 2194: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x73932778
# UVM_INFO fifo_scoreboard.sv(62) @ 2202: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x6d2aba02
# UVM_INFO fifo_scoreboard.sv(62) @ 2210: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x6d2aba02
# UVM_INFO fifo_scoreboard.sv(62) @ 2218: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x28766828
# UVM_INFO fifo_scoreboard.sv(62) @ 2226: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x28766828
# UVM_INFO fifo_scoreboard.sv(62) @ 2234: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x44a52592
# UVM_INFO fifo_scoreboard.sv(62) @ 2242: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x44a52592
# UVM_INFO fifo_scoreboard.sv(62) @ 2250: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xccb7be1a
# UVM_INFO fifo_scoreboard.sv(62) @ 2258: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xccb7be1a
# UVM_INFO fifo_scoreboard.sv(62) @ 2266: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x854361d0
# UVM_INFO fifo_scoreboard.sv(62) @ 2274: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x854361d0
# UVM_INFO fifo_scoreboard.sv(62) @ 2282: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x20a72234
# UVM_INFO fifo_scoreboard.sv(62) @ 2290: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x20a72234
# UVM_INFO fifo_scoreboard.sv(62) @ 2298: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x1e7a672e
# UVM_INFO fifo_scoreboard.sv(62) @ 2306: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x1e7a672e
# UVM_INFO fifo_scoreboard.sv(62) @ 2314: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xef4fb712
# UVM_INFO fifo_scoreboard.sv(62) @ 2322: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xef4fb712
# UVM_INFO fifo_scoreboard.sv(62) @ 2330: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x8d20eb54
# UVM_INFO fifo_scoreboard.sv(62) @ 2338: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x8d20eb54
# UVM_INFO fifo_scoreboard.sv(62) @ 2346: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4eeac8c3
# UVM_INFO fifo_scoreboard.sv(62) @ 2354: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4eeac8c3
# UVM_INFO fifo_scoreboard.sv(62) @ 2362: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xb0536d5e
# UVM_INFO fifo_scoreboard.sv(62) @ 2370: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xb0536d5e
# UVM_INFO fifo_scoreboard.sv(62) @ 2378: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xcfea4bcc
# UVM_INFO fifo_scoreboard.sv(62) @ 2386: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xcfea4bcc
# UVM_INFO fifo_scoreboard.sv(62) @ 2394: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc374cca2
# UVM_INFO fifo_scoreboard.sv(62) @ 2402: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc374cca2
# UVM_INFO fifo_scoreboard.sv(62) @ 2410: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x831c89a2
# UVM_INFO fifo_scoreboard.sv(62) @ 2418: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x831c89a2
# UVM_INFO fifo_scoreboard.sv(62) @ 2426: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc828a24e
# UVM_INFO fifo_scoreboard.sv(62) @ 2434: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc828a24e
# UVM_INFO fifo_scoreboard.sv(62) @ 2442: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xf20c682c
# UVM_INFO fifo_scoreboard.sv(62) @ 2450: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xf20c682c
# UVM_INFO fifo_scoreboard.sv(62) @ 2458: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x37f8b184
# UVM_INFO fifo_scoreboard.sv(62) @ 2466: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x37f8b184
# UVM_INFO fifo_scoreboard.sv(62) @ 2474: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xec0c5423
# UVM_INFO fifo_scoreboard.sv(62) @ 2482: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xec0c5423
# UVM_INFO fifo_scoreboard.sv(62) @ 2490: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4a0bceef
# UVM_INFO fifo_scoreboard.sv(62) @ 2498: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4a0bceef
# UVM_INFO fifo_scoreboard.sv(62) @ 2506: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4b6133fb
# UVM_INFO fifo_scoreboard.sv(62) @ 2514: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4b6133fb
# UVM_INFO fifo_scoreboard.sv(62) @ 2522: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x53a72913
# UVM_INFO fifo_scoreboard.sv(62) @ 2530: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x53a72913
# UVM_INFO fifo_scoreboard.sv(62) @ 2538: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x7c8bedff
# UVM_INFO fifo_scoreboard.sv(62) @ 2546: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x7c8bedff
# UVM_INFO fifo_scoreboard.sv(62) @ 2554: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc382c195
# UVM_INFO fifo_scoreboard.sv(62) @ 2562: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc382c195
# UVM_INFO fifo_scoreboard.sv(62) @ 2570: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xff188c72
# UVM_INFO fifo_scoreboard.sv(62) @ 2578: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xff188c72
# UVM_INFO fifo_scoreboard.sv(62) @ 2586: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5c819080
# UVM_INFO fifo_scoreboard.sv(62) @ 2594: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5c819080
# UVM_INFO fifo_scoreboard.sv(62) @ 2602: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x431ed903
# UVM_INFO fifo_scoreboard.sv(62) @ 2610: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x431ed903
# UVM_INFO fifo_scoreboard.sv(62) @ 2618: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xde848def
# UVM_INFO fifo_scoreboard.sv(62) @ 2626: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xde848def
# UVM_INFO fifo_scoreboard.sv(62) @ 2634: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5a7c43f
# UVM_INFO fifo_scoreboard.sv(62) @ 2642: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5a7c43f
# UVM_INFO fifo_scoreboard.sv(62) @ 2650: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x67aac98a
# UVM_INFO fifo_scoreboard.sv(62) @ 2658: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x67aac98a
