# Compile of async_fifo.sv was successful.
# Compile of driver.sv was successful.
# Compile of environment.sv was successful.
# Compile of generator.sv was successful.
# Compile of interface.sv was successful.
# Compile of monitor_in.sv was successful.
# Compile of monitor_out.sv was successful.
# Compile of scoreboard.sv was successful.
# Compile of top.sv was successful.
# Compile of test.sv was successful.
# Compile of tb_pkg.sv was successful.
# 11 compiles, 0 failed with no errors.
vsim work.testbench_top -voptargs=+acc
# vsim work.testbench_top -voptargs="+acc" 
# Start time: 22:41:09 on May 02,2025
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.tb_pkg(fast)
# Loading work.top_sv_unit(fast)
# Loading work.testbench_top(fast)
# Loading work.intf(fast__2)
# Loading work.async_fifo(fast)
# Loading work.intf(fast)
add wave -position insertpoint  \
sim:/testbench_top/vif/wr_clk \
sim:/testbench_top/vif/wr_rst_n \
sim:/testbench_top/vif/rd_clk \
sim:/testbench_top/vif/rd_rst_n \
sim:/testbench_top/vif/wr_en \
sim:/testbench_top/vif/wr_data \
sim:/testbench_top/vif/rd_en \
sim:/testbench_top/vif/rd_data \
sim:/testbench_top/vif/full \
sim:/testbench_top/vif/half_full \
sim:/testbench_top/vif/empty \
sim:/testbench_top/vif/half_empty
run -all
# 
# === GENERATOR: Starting write phase (FILL 256 words) ===
# [0] MON_IN:Started monitoring write interface
# [0] MON_OUT started
# [1000] WRITE | DATA: 0x00000000 | STATUS: FULL=0 HALF_FULL=0
# [1000] Driver started
# [3000] WRITE | DATA: 0x00000001 | STATUS: FULL=0 HALF_FULL=0
# [5000] WRITE | DATA: 0x00000002 | STATUS: FULL=0 HALF_FULL=0
# [5000] Transaction: WR=1 DATA=0x00000000 | RD=0 DATA=0x00000000| FULL=0 HF=0 EMPTY=0 HE=0
# [7000] WRITE | DATA: 0x00000003 | STATUS: FULL=0 HALF_FULL=0
# [7000] Transaction: WR=1 DATA=0x00000000 | RD=0 DATA=0x00000000| FULL=0 HF=0 EMPTY=0 HE=0
# [9000] WRITE | DATA: 0x00000004 | STATUS: FULL=0 HALF_FULL=0
# [11000] WRITE | DATA: 0x00000005 | STATUS: FULL=0 HALF_FULL=0
# [13000] WRITE | DATA: 0x00000006 | STATUS: FULL=0 HALF_FULL=0
# [13000] Transaction: WR=1 DATA=0x00000001 | RD=0 DATA=0x00000000| FULL=0 HF=0 EMPTY=0 HE=0
# [15000] WRITE | DATA: 0x00000007 | STATUS: FULL=0 HALF_FULL=0
# [15000] Transaction: WR=1 DATA=0x00000001 | RD=0 DATA=0x00000000| FULL=0 HF=0 EMPTY=0 HE=0
# [17000] WRITE | DATA: 0x00000008 | STATUS: FULL=0 HALF_FULL=0
# [19000] WRITE | DATA: 0x00000009 | STATUS: FULL=0 HALF_FULL=0
# [21000] WRITE | DATA: 0x0000000a | STATUS: FULL=0 HALF_FULL=0
# [21000] Transaction: WR=1 DATA=0x00000002 | RD=0 DATA=0x00000000| FULL=0 HF=0 EMPTY=0 HE=0
# [23000] WRITE | DATA: 0x0000000b | STATUS: FULL=0 HALF_FULL=0
# [23000] Transaction: WR=1 DATA=0x00000002 | RD=0 DATA=0x00000000| FULL=0 HF=0 EMPTY=0 HE=0
# [25000] WRITE | DATA: 0x0000000c | STATUS: FULL=0 HALF_FULL=0
# [27000] WRITE | DATA: 0x0000000d | STATUS: FULL=0 HALF_FULL=0
# [29000] WRITE | DATA: 0x0000000e | STATUS: FULL=0 HALF_FULL=0
